"replicate","method","c1","c2","n_optima","empty_middle","BA_boot","BA_original","optimism"
82,"Distance",-1.05970790375,2.5206185565,1,FALSE,0.673508059554571,0.665411590992986,0.00809646856158486
83,"Youden",-1.05970790375,0.6112542955,1,FALSE,0.713055247938969,0.690513104466593,0.0225421434723759
83,"Distance",-1.05970790375,2.058848797,1,FALSE,0.711578688322874,0.673532668881506,0.0380460194413682
84,"Youden",-0.6967353952,1.219072165,2,FALSE,0.735277470161191,0.68874123292728,0.0465362372339115
84,"Distance",-1.63101374575,1.219072165,1,FALSE,0.700307616586686,0.683745539559493,0.0165620770271934
85,"Youden",-1.4742268041,2.058848797,1,FALSE,0.738402854681924,0.674910791189861,0.0634920634920635
85,"Distance",-1.4742268041,2.058848797,1,FALSE,0.738402854681924,0.674910791189861,0.0634920634920635
86,"Youden",-1.68685567015,0.6112542955,1,FALSE,0.746179401993356,0.677420942537222,0.0687584594561339
86,"Distance",-1.68685567015,1.219072165,1,FALSE,0.745441122185308,0.668930724744678,0.0765103974406299
87,"Youden",-1.6825601375,1.47895189,1,FALSE,0.7369755137197,0.675624461670973,0.0613510520487265
87,"Distance",-1.6825601375,1.47895189,1,FALSE,0.7369755137197,0.675624461670973,0.0613510520487265
88,"Youden",-1.01030927835,1.219072165,1,FALSE,0.753636028054633,0.682022886674049,0.0716131413805833
88,"Distance",-1.63101374575,1.219072165,1,FALSE,0.740199335548173,0.683745539559493,0.0564537959886797
89,"Youden",-1.63101374575,0.6112542955,1,FALSE,0.793429309708379,0.692235757352036,0.101193552356343
89,"Distance",-1.63101374575,1.47895189,1,FALSE,0.792691029900332,0.675624461670973,0.117066568229359
90,"Youden",-0.07817869415,0.6112542955,2,FALSE,0.719822812846069,0.681038513596653,0.0387842992494155
90,"Distance",-1.4742268041,0.858247423,1,FALSE,0.707370493417005,0.691522086870924,0.0158484065460809
91,"Youden",-1.3711340206,0.858247423,1,FALSE,0.729961855543251,0.683425618309339,0.0465362372339116
91,"Distance",-1.63101374575,2.056701031,1,FALSE,0.714753291497478,0.67525532176695,0.0394979697305279
92,"Youden",-1.63101374575,0.806701031,1,FALSE,0.699643164759444,0.691866617448013,0.00777654731143107
